Days of production;Pond Identifier;Temperature in the Morning;Temperature n the Afternoon;Temperature in the Evening;Feed per day (kg of shrimp feed);TAN ppm;Phosphate ppm;Phytoplankton cells/ml;;;;;;;;;;;;;;;
1;A1;29;30;29;3,5;;;;;;;;;;;;;;;;;;
2;A1;30;32;29;3,5;;;;;;;;;;;;;;;;;;
3;A1;29;33;31;4;0,606;0,036;3.000;;;;;;;;;;;;;;;
4;A1;29;32;31;4;;;;;;;;;;;;;;;;;;
5;A1;30;30;28;4,5;;;;;;;;;;;;;;;;;;
6;A1;27;27;27;4,5;0,837;0,061;3.500;;;;;;;;;;;;;;;
7;A1;26;29;29;5;;;;;;;;;;;;;;;;;;
8;A1;28;30;29;5;;;;;;;;;;;;;;;;;;
9;A1;28;29;29;6;;;;;;;;;;;;;;;;;;
10;A1;28;29;28;7;0,871;0,121;3.500;;;;;;;;;;;;;;;
11;A1;27;30;29;7,5;;;;;;;;;;;;;;;;;;
12;A1;29;30;29;8;;;;;;;;;;;;;;;;;;
13;A1;29;31;29;8,5;1,288;0,164;3.500;;;;;;;;;;;;;;;
14;A1;29;30;30;9;;;;;;;;;;;;;;;;;;
15;A1;29;31;31;9,5;;;;;;;;;;;;;;;;;;
16;A1;29;32;31;10;;;;;;;;;;;;;;;;;;
17;A1;29;32;31;10,5;1,649;0,18;3.500;;;;;;;;;;;;;;;
18;A1;29;30;30;11;;;;;;;;;;;;;;;;;;
19;A1;30;31;30;11,5;;;;;;;;;;;;;;;;;;
20;A1;29;31;30;12;0,807;0,142;4.500;;;;;;;;;;;;;;;
21;A1;29;31;29;12,5;;;;;;;;;;;;;;;;;;
22;A1;28;31;31;14;;;;;;;;;;;;;;;;;;
23;A1;30;32;31;18;;;;;;;;;;;;;;;;;;
24;A1;30;30;30;19;0,731;0,132;4.500;;;;;;;;;;;;;;;
25;A1;29;32;31;20,5;;;;;;;;;;;;;;;;;;
26;A1;30;32;31;21,5;;;;;;;;;;;;;;;;;;
27;A1;30;32;31;23;0,448;0,103;7.000;;;;;;;;;;;;;;;
28;A1;30;31;31;24;;;;;;;;;;;;;;;;;;
29;A1;30;31;31;25,5;;;;;;;;;;;;;;;;;;
30;A1;30;31;30;26,5;;;;;;;;;;;;;;;;;;
31;A1;29;30;30;26,5;0,516;0,1;4.500;;;;;;;;;;;;;;;
32;A1;28;31;31;-;;;;;;;;;;;;;;;;;;
33;A1;29;32;30;24;;;;;;;;;;;;;;;;;;
34;A1;29;32;30;24;0,305;0,122;6.000;;;;;;;;;;;;;;;
35;A1;29;31;30;21;;;;;;;;;;;;;;;;;;
36;A1;29;32;31;22;;;;;;;;;;;;;;;;;;
37;A1;29;32;31;23;;;;;;;;;;;;;;;;;;
38;A1;29;30;30;23;0,178;0,133;9.500;;;;;;;;;;;;;;;
39;A1;28;31;30;25;;;;;;;;;;;;;;;;;;
40;A1;29;31;30;26;;;;;;;;;;;;;;;;;;
41;A1;29;32;30;26;0,18;0,154;10.500;;;;;;;;;;;;;;;
42;A1;29;32;31;-;;;;;;;;;;;;;;;;;;
43;A1;29;31;30;-;;;;;;;;;;;;;;;;;;
